Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
Q9BQE5	Q9BQE5	APOL2_HUMAN	APOL2	Apolipoprotein L2	199579				47795.6	546428			97077.7									
Q9BQG0	Q9BQG0	MBB1A_HUMAN	MYBBP1A	Myb-binding protein 1A		380272	51568.5		166340	1.41844e+06	240389			263975	215559	299506					147541	
Q9BR76	Q9BR76	COR1B_HUMAN	CORO1B	Coronin-1B	247785	404866	390634	417724	189005	450465	364134	423327	535914	542457	173828	745890	284611	342365	368780	443563	290581	437487
Q9BRA2	Q9BRA2	TXD17_HUMAN	TXNDC17	Thioredoxin domain-containing protein 17	1.14125e+06	1.11196e+06	858266	1.04857e+06	169328	579939	1.06181e+06	1.22722e+06	1.14676e+06	1.33252e+06	375039	1.29059e+06		1.43552e+06	852209	1.36524e+06	589012	398612
Q9BRG1	Q9BRG1	VPS25_HUMAN	VPS25	Vacuolar protein-sorting-associated protein 25						58414.7										37475.8	15313.2	
Q9BRK5	Q9BRK5	CAB45_HUMAN	SDF4	45 kDa calcium-binding protein	917818	1.09896e+06	2.21389e+06	2.44213e+06	1.32326e+06	742674	981486	545833	2.53612e+06	1.11558e+06	2.08094e+06	674918		510257	1.64644e+06	460066	2.65992e+06	123920
Q9BRP1	Q9BRP1	PDD2L_HUMAN	PDCD2L	Programmed cell death protein 2-like					211083													
Q9BRP8	Q9BRP8	PYM1_HUMAN	PYM1	Partner of Y14 and mago	64608.5	119849	127522	128133		73573.2	144943	131948	120480	75678.7	42413.7			194550	177707	213112	107084	148218
Q9BS26	Q9BS26	ERP44_HUMAN	ERP44	Endoplasmic reticulum resident protein 44	170392	116295	527274	594195	39228.7	348096	14893.4	414902	532233	767122	221889			252583		345289	149166	360896
Q9BSD7	Q9BSD7	NTPCR_HUMAN	NTPCR	Cancer-related nucleoside-triphosphatase						251482												
Q9BSJ8	Q9BSJ8	ESYT1_HUMAN	ESYT1	Extended synaptotagmin-1					859933	1.62221e+06												
Q9BT78	Q9BT78	CSN4_HUMAN	COPS4	COP9 signalosome complex subunit 4					97946.4	380161												882792
Q9BTT0	Q9BTT0	AN32E_HUMAN	ANP32E	Acidic leucine-rich nuclear phosphoprotein 32 family member E		656187	430462		1.39074e+06	615233		395775	448790		304729	3.20481e+06	528232	208968	321094	495476	359840	1.18479e+06
Q9BTW9	Q9BTW9	TBCD_HUMAN	TBCD	Tubulin-specific chaperone D					60009.4							312202						
Q9BTX1	Q9BTX1	NDC1_HUMAN	NDC1	Nucleoporin NDC1					68196.8													
Q9BTY2	Q9BTY2	FUCO2_HUMAN	FUCA2	Plasma alpha-L-fucosidase	700903	1.007e+06	3.50128e+06	2.55646e+06	5.47062e+06	986286	918643	1.12609e+06	3.83833e+06	2.51633e+06	5.05321e+06	925750	1.44219e+06	191126	2.63275e+06	629737	5.52047e+06	1.48824e+06
Q9BTY7	Q9BTY7	HGH1_HUMAN	HGH1	Protein HGH1 homolog					126484	4.98168e+06												38801.8
Q9BUF5	Q9BUF5	TBB6_HUMAN	TUBB6	Tubulin beta-6 chain	216388			254680	252710	846894		287088		166253				265355		229853		887201
Q9BUJ2	Q9BUJ2	HNRL1_HUMAN	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1	99077	28136.8	62840		82581.6	784947	145146	36625.6	32443.1		76857.9			40437.9	100629	114202	114062	
Q9BUL8	Q9BUL8	PDC10_HUMAN	PDCD10	Programmed cell death protein 10					481234	770766		1.26515e+06	1.49294e+06	2.41156e+06	1.67131e+06			1.48087e+06		1.5183e+06	1.28723e+06	552218
Q9BUR5	Q9BUR5	MIC26_HUMAN	APOO	MICOS complex subunit MIC26	37080.5						116445		81657.7		53341.1	326364						
Q9BUT1	Q9BUT1	BDH2_HUMAN	BDH2	3-hydroxybutyrate dehydrogenase type 2					55076.4	253040						274725						47231.9
Q9BVG4	Q9BVG4	PBDC1_HUMAN	PBDC1	Protein PBDC1		487081				1.3469e+06		520276	367784	79973.5				447692	170829	418602	31234.2	
Q9BVI4	Q9BVI4	NOC4L_HUMAN	NOC4L	Nucleolar complex protein 4 homolog						1.09202e+06												
Q9BW27	Q9BW27	NUP85_HUMAN	NUP85	Nuclear pore complex protein Nup85					179303	160090												
Q9BW60	Q9BW60	ELOV1_HUMAN	ELOVL1	Elongation of very long chain fatty acids protein 1						70605.9						133106					22326.4	
Q9BWD1	Q9BWD1	THIC_HUMAN	ACAT2	Acetyl-CoA acetyltransferase, cytosolic	1.01695e+06	1.17669e+06	1.83311e+06	1.04538e+06	947280	920858	1.48351e+06	1.19637e+06	955675	1.10734e+06	383719	611918	457496	879060	500296	893861	908720	1.23448e+06
Q9BWH6	Q9BWH6	RPAP1_HUMAN	RPAP1	RNA polymerase II-associated protein 1					163744													
Q9BWS9	Q9BWS9	CHID1_HUMAN	CHID1	Chitinase domain-containing protein 1			120697		365235		41915.5		303839		776615						472204	73820.6
Q9BX63	Q9BX63	FANCJ_HUMAN	BRIP1	Fanconi anemia group J protein	1.42408e+06	1.26288e+06	931527	947002	610755	257586	1.07407e+06	305964	907430	907344	1.47756e+06		683374	155491	986082	448070	423539	413093
Q9BXF9	Q9BXF9	TEKT3_HUMAN	TEKT3	Tektin-3	541636	532922	646617	761617	393252	382520	421451	309452	714028	732238	419527	769886	762039	370575	906335	677176	401538	461082
Q9BXJ4	Q9BXJ4	C1QT3_HUMAN	C1QTNF3	Complement C1q tumor necrosis factor-related protein 3	3.45784e+06	2.40321e+06	3.1272e+06	2.18241e+06	3.09316e+06	2.39288e+06	3.46338e+06	1.89617e+06	1.93273e+06	1.69688e+06	737290	2.02471e+06	2.8833e+06	915493	2.13515e+06	897672	1.77125e+06	5.78579e+06
Q9BXJ9	Q9BXJ9	NAA15_HUMAN	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit		195424	156831	115884	359077	827711			211704	140918		1.57788e+06				126173		670724
Q9BXN1	Q9BXN1	ASPN_HUMAN	ASPN	Asporin	136248	220127		192993			213972	211610	77194.6					72406.4		51740		
Q9BXS5	Q9BXS5;Q9Y6Q5	AP1M1_HUMAN	AP1M1	AP-1 complex subunit mu-1		827369			27692.3		643005					296314		339400		447478		374211
Q9BY44	Q9BY44	EIF2A_HUMAN	EIF2A	Eukaryotic translation initiation factor 2A	369327	59266.4	339835		568254	40491.8	306310	245756	126378	113483	139459	153174		219671		223880	185991	157680
Q9BYX2	Q9BYX2	TBD2A_HUMAN	TBC1D2	TBC1 domain family member 2A						343476												
Q9BYZ2	Q9BYZ2	LDH6B_HUMAN	LDHAL6B	L-lactate dehydrogenase A-like 6B	243051	114362	192873	686845	2.51882e+06	2.5558e+06	430153	904703		555054	105028	1.58771e+06		139190	468051	1.05251e+06	94712.3	388772
Q9BZH6	Q9BZH6	WDR11_HUMAN	WDR11	WD repeat-containing protein 11	349341	130912	302184	32065.9		208240	304556	157656	281239		63578.8	516156	363084	272796		21510.4	104430	460857
Q9BZL1	Q9BZL1	UBL5_HUMAN	UBL5	Ubiquitin-like protein 5	259123	331455	346420			211241	341952	334301	341821	204360			509932	394826	564716	562892	385533	314515
Q9BZP6	Q9BZP6	CHIA_HUMAN	CHIA	Acidic mammalian chitinase	1.23722e+06	2.27148e+06	268080	1.73005e+06	175622		1.20762e+06	1.37197e+06	1.53449e+06	2.27713e+06	228237		1.62975e+06	810791	1.21914e+06	591346	268774	55363.6
Q9BZQ8	Q9BZQ8	NIBA1_HUMAN	NIBAN1	Protein Niban 1												154083						
Q9BZZ5	Q9BZZ5	API5_HUMAN	API5	Apoptosis inhibitor 5	193594	117598	235670		667875	328603	175244	145582	198468	136787	89436.8	685575	108631	191778	64588.5	211429	146462	353584
Q9C0G6	Q9C0G6	DYH6_HUMAN	DNAH6	Dynein heavy chain 6, axonemal	649854	695050	418961	507594			750865	515190	479025	418147			90107.5	203782	514342	152438	21564.9	45278.1
Q9C0H2	Q9C0H2	TTYH3_HUMAN	TTYH3	Protein tweety homolog 3		133399	188888	141270	359637	202317	152929	97265.8	185395	215301	509518	312073		87313.8	108524	151808	462678	85085.5
Q9GZL7	Q9GZL7	WDR12_HUMAN	WDR12	Ribosome biogenesis protein WDR12					185056	212217												
Q9GZP0	Q9GZP0	PDGFD_HUMAN	PDGFD	Platelet-derived growth factor D	142863		635820	605950	553607	234256	225870	24535.4	858877	714852	971843	277540			304913	118226	939206	191253
Q9GZR7	Q9GZR7	DDX24_HUMAN	DDX24	ATP-dependent RNA helicase DDX24					112979													
Q9GZS3	Q9GZS3	WDR61_HUMAN	WDR61	WD repeat-containing protein 61						930687			47316.7					42989.8		29500.6		
Q9GZU1	Q9GZU1	MCLN1_HUMAN	MCOLN1	Mucolipin-1					106469	2.08961e+06												
Q9GZX3	Q9GZX3	CHST6_HUMAN	CHST6	Carbohydrate sulfotransferase 6			310026	545671		132274			265357	392084	512714					133823	645869	131664
Q9GZZ1	Q9GZZ1	NAA50_HUMAN	NAA50	N-alpha-acetyltransferase 50	219948	461177	244050	326351	116514	143849	345958	461498	313862	411986	127998	113365		355257	570394	371314	123002	194175
Q9GZZ9	Q9GZZ9	UBA5_HUMAN	UBA5	Ubiquitin-like modifier-activating enzyme 5						216020				113474	65853.3	674431						132896
Q9H0A0	Q9H0A0	NAT10_HUMAN	NAT10	RNA cytidine acetyltransferase					642472	2.14256e+06												600704
Q9H0D6	Q9H0D6	XRN2_HUMAN	XRN2	5'-3' exoribonuclease 2						1.12819e+06						381157		206779	146992			93559.3
Q9H0E2	Q9H0E2	TOLIP_HUMAN	TOLLIP	Toll-interacting protein			510218	217059	983857	245354	235432		383123		665315		268567		432089	147492	614288	347650
Q9H0H5	Q9H0H5	RGAP1_HUMAN	RACGAP1	Rac GTPase-activating protein 1	253883	143420	183649	313808	559316	81877.7	223730	173288	226006	446403	425506			88985.9		170917	380248	172616
Q9H0S4	Q9H0S4	DDX47_HUMAN	DDX47	Probable ATP-dependent RNA helicase DDX47					346984	282081									1.22533e+07			
Q9H0U4	Q92928;Q9H0U4	RAB1B_HUMAN	RAB1B	Ras-related protein Rab-1B		58331		44012.8	608708									27967.1	23825.6	8648.64		119564
Q9H173	Q9H173	SIL1_HUMAN	SIL1	Nucleotide exchange factor SIL1	199946	174142	507739	192526	1.2025e+06	91465.4	187479	307340	510182	417186	1.33451e+06				186847	80463	1.16273e+06	33521.2
Q9H1B5	Q9H1B5	XYLT2_HUMAN	XYLT2	Xylosyltransferase 2	171372	100820	264464			75594.2		5288.48	178034	82928.5	89826.3			147407	254020		58091	
Q9H1E3	Q9H1E3	NUCKS_HUMAN	NUCKS1	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	304468	286729	651064	499137	433092	1.47494e+06	454736	341898	537930	649138	450839	619372	307162	228118	504867	248946	318187	1.22786e+06
Q9H1I8	Q9H1I8	ASCC2_HUMAN	ASCC2	Activating signal cointegrator 1 complex subunit 2					92303	560847		578616										
Q9H223	Q9NZN3;Q9H223	EHD4_HUMAN	EHD4	EH domain-containing protein 4								94761.1										
Q9H299	Q9H299	SH3L3_HUMAN	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	300162	430651	378756	432758	281027	401910	417634	441420	358418	411571	184076	853917	250476	393690	457246	375725	232940	266460
Q9H2C0	Q9H2C0	GAN_HUMAN	GAN	Gigaxonin						498686												
Q9H2E6	Q9H2E6	SEM6A_HUMAN	SEMA6A	Semaphorin-6A			367850	546108	385970	298922		208222	393861	622497	504665			28185.6	350019	194353	455886	226660
Q9H2P9	Q9H2P9	DPH5_HUMAN	DPH5	Diphthine methyl ester synthase					211835	498457						262477						254223
Q9H2U1	Q9H2U1	DHX36_HUMAN	DHX36	ATP-dependent DNA/RNA helicase DHX36			41259	68704.2								464898				31335.8		54735.4
Q9H2U2	Q9H2U2	IPYR2_HUMAN	PPA2	Inorganic pyrophosphatase 2, mitochondrial			258391		205583	486630		274583	262501	168244		252178		281761	234771	339090	185108	251683
Q9H2W6	Q9H2W6	RM46_HUMAN	MRPL46	39S ribosomal protein L46, mitochondrial	2.51349e+06	2.47507e+06	1.50743e+06	2.04695e+06		273895	1.60904e+06	1.94416e+06	1.65713e+06	3.94158e+06	606333		1.03451e+06	1.28005e+06	1.49555e+06	619642	588136	1.3426e+06
Q9H3G5	Q9H3G5	CPVL_HUMAN	CPVL	Probable serine carboxypeptidase CPVL	203428	320688	1.29592e+06	731358	1.23426e+06	425691	171661	276797	1.2755e+06	643005	1.91968e+06	283577				215695	1.61552e+06	442381
Q9H3K6	Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2	196111	75944.7	170398	128945		224082	127677	207418	157631		149015			221969	216122	335780	252035	272496
Q9H3P2	Q9H3P2	NELFA_HUMAN	NELFA	Negative elongation factor A					255485													
Q9H3P7	Q9H3P7	GCP60_HUMAN	ACBD3	Golgi resident protein GCP60						124977										97850.3		
Q9H3S7	Q9H3S7	PTN23_HUMAN	PTPN23	Tyrosine-protein phosphatase non-receptor type 23					90657.1	630692												
Q9H3U1	Q9H3U1	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A	129519	164940	187647	165857	150510	634130	158637	189836	252016	188625	128693	672894	278329	138190	259664	191408	134525	182370
Q9H444	Q9H444	CHM4B_HUMAN	CHMP4B	Charged multivesicular body protein 4b	126887			172793	314564	214100		232072	268173	315788	262451			189702		273698	328948	179749
Q9H4A4	Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B	287185	469753	487554	185461	93645.2	390329	301302	274730	351037	249574	55448.2	386231	226270	451961		401874	194997	477273
Q9H4A5	Q9H4A5	GLP3L_HUMAN	GOLPH3L	Golgi phosphoprotein 3-like						440251												
Q9H4A5;Q9H4A6	Q9H4A6;Q9H4A5	GLP3L_HUMAN;GOLP3_HUMAN	GOLPH3;GOLPH3L	Golgi phosphoprotein 3-like						262647									23408.7	67105.2		
Q9H4I9	Q9H4I9	EMRE_HUMAN	SMDT1	Essential MCU regulator, mitochondrial	794739	711305	743375	681836			1.27869e+06	766319	567911	710966	284260			423835	1.10652e+06	436174	345526	177542
Q9H4L7	Q9H4L7	SMRCD_HUMAN	SMARCAD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1					296816							608773				57379.2		122161
Q9H4M9	Q9H4M9	EHD1_HUMAN	EHD1	EH domain-containing protein 1	83479.7				9675.08	108246			50954.2		155124	279886					126810	89667.2
Q9H583	Q9H583	HEAT1_HUMAN	HEATR1	HEAT repeat-containing protein 1					453012	1.56584e+06												
Q9H5V8	Q9H5V8	CDCP1_HUMAN	CDCP1	CUB domain-containing protein 1						743982												
Q9H611	Q9H611	PIF1_HUMAN	PIF1	ATP-dependent DNA helicase PIF1	3.0816e+06	3.69562e+06	1.90524e+06	3.64919e+06		503977	3.20396e+06	2.7529e+06	1.6982e+06	2.95934e+06	547819		1.36376e+06	1.49293e+06	2.25713e+06	1.15221e+06	706891	435346
Q9H6S0	Q9H6S0	YTDC2_HUMAN	YTHDC2	3'-5' RNA helicase YTHDC2						663346												
Q9H7Z7	Q9H7Z7	PGES2_HUMAN	PTGES2	Prostaglandin E synthase 2						159048												
Q9H832	Q9H832	UBE2Z_HUMAN	UBE2Z	Ubiquitin-conjugating enzyme E2 Z		19808.3				703297			54407	68278.2						28930.5		83920.4
Q9H8H0	Q9H8H0	NOL11_HUMAN	NOL11	Nucleolar protein 11						252921												
Q9H8M2	Q9H8M2	BRD9_HUMAN	BRD9	Bromodomain-containing protein 9	645880	111180	434036	92871.9			486663		133755	77717.3				41823.4		26952.8		13483.5
Q9H8M9	Q9H8M9	EVA1A_HUMAN	EVA1A	Protein eva-1 homolog A				152000	72635.5						165520	74158.6						
Q9H910	Q9H910	JUPI2_HUMAN	JPT2	Jupiter microtubule associated homolog 2					61768	172800			143784		73535.2				68195.4	119077	328478	201058
Q9H9B4	Q9H9B4	SFXN1_HUMAN	SFXN1	Sideroflexin-1					313268	130730												
Q9H9Q2	Q9H9Q2	CSN7B_HUMAN	COPS7B	COP9 signalosome complex subunit 7b			30656.3			133201		42444.2			16719.5					43476.3	11585.9	
Q9H9Q4	Q9H9Q4	NHEJ1_HUMAN	NHEJ1	Non-homologous end-joining factor 1						80015.7												
Q9H9T3	Q9H9T3	ELP3_HUMAN	ELP3	Elongator complex protein 3					53105.9													
Q9HAV4	Q9HAV4	XPO5_HUMAN	XPO5	Exportin-5		147362	138548		60204.2			159303						145322		135395		69637.2
Q9HB40	Q9HB40	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase	528595	463553	692377	435445	1.09229e+06	337342	587954	272805	576884	458220	921006	621193		254380	550989	172031	1.16191e+06	364718
Q9HB71	Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein	1.70174e+06	1.10457e+06	1.3359e+06	1.53041e+06	963119	2.41126e+06	1.48013e+06	1.67028e+06	1.77363e+06	2.19006e+06	984563	1.97924e+06	3.1079e+06	1.37137e+06	1.55767e+06	2.00845e+06	1.41271e+06	2.68959e+06
Q9HBH0	Q9HBH0	RHOF_HUMAN	RHOF	Rho-related GTP-binding protein RhoF		313415	359775	626510			911063	378182	530303	430087				229545	378679	156198	19867.8	141262
Q9HC38	Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	181602	170960	531148	295617		272058		249414	286317	301842	126364	232610	687632	326505	556556	369412	227073	425995
Q9HC57	Q9HC57	WFDC1_HUMAN	WFDC1	WAP four-disulfide core domain protein 1		17010.3	214207		1.07608e+06				149660		974768				154452		672111	105190
Q9HCU4	Q9HCU4	CELR2_HUMAN	CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2			91555.5		269601						370485						242556	83830.1
Q9HD20	Q9HD20	AT131_HUMAN	ATP13A1	Manganese-transporting ATPase 13A1						746297					122445							
Q9HD45	Q9HD45	TM9S3_HUMAN	TM9SF3	Transmembrane 9 superfamily member 3						262605					17511.2							
Q9HDC9	Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	7.38857e+06	8.95903e+06	1.79592e+06	4.10576e+06	367151	1.16085e+06	4.68148e+06	4.78619e+06	1.88185e+06	4.35902e+06	319053	950927		2.10246e+06	2.87406e+06	1.29014e+06	526531	1.02285e+06
Q9NPD8	Q9NPD8	UBE2T_HUMAN	UBE2T	Ubiquitin-conjugating enzyme E2 T	146410		127764			20420.2	206468		97029.9					121582		276951	198613	
Q9NPF2	Q9NPF2	CHSTB_HUMAN	CHST11	Carbohydrate sulfotransferase 11	216388	114848	728051	646407	1.22908e+06	432338			504447	612073	1.47137e+06	755118			914192	157523	1.87483e+06	765444
Q9NPF4	Q9NPF4	OSGEP_HUMAN	OSGEP	Probable tRNA N6-adenosine threonylcarbamoyltransferase						513924						270938		29926.1				
Q9NPH2	Q9NPH2	INO1_HUMAN	ISYNA1	Inositol-3-phosphate synthase 1	196415	213002			2.53499e+06		170019	58999.6	252757			73211.3		108486		77188.8		162980
Q9NPH3	Q9NPH3	IL1AP_HUMAN	IL1RAP	Interleukin-1 receptor accessory protein	3.3325e+06	3.04572e+06	1.6096e+06	2.70211e+06		588450	2.56652e+06	2.46128e+06	1.67553e+06	1.93192e+06	993178	1.73118e+06	255308	1.36595e+06	970019	665006	1.27846e+06	470824
Q9NQ55	Q9NQ55	SSF1_HUMAN	PPAN	Suppressor of SWI4 1 homolog	532352	636669	222837	437595	318445		617805	441725	200775	328487			103497	227784	228415	148431		17901.6
Q9NQ75	Q9NQ75	CASS4_HUMAN	CASS4	Cas scaffolding protein family member 4	600914	302401	181318	307073			465365	90810.6	349531	384867	57524.4		235933	193436		54877.3	92518.5	145847
Q9NQC3	Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	172646	138641	249316	245394		248378	166261	420096	265807	230856	131887			220491		274499	221633	293620
Q9NQH7	Q9NQH7	XPP3_HUMAN	XPNPEP3	Xaa-Pro aminopeptidase 3	7.85767e+06			5.78951e+06			7.70114e+06			5.9299e+06	5.30695e+06			5.36622e+06		5.05612e+06	5.31645e+06	
Q9NQW6	Q9NQW6	ANLN_HUMAN	ANLN	Anillin					51056	44393.1					69461.5						115635	19060.2
Q9NQW7	Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1	410626	496995	327447	352033	65436.1	464657	560165	497378	436325	389477	214652	617758	494976	621587	774412	598562	263645	449602
Q9NR30	Q9NR30	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	701165			343638	2.24066e+06	612754	1.21768e+06	379652		333599		605525		402347		274769		407256
Q9NR31	Q9NR31	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a					7.7975e+06	465169												645746
Q9NR45	Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase		1.27611e+06	1.05577e+06		47019.1	1.13453e+06		578504	190596		246896	852753		942281		1.15691e+06	259756	636760
Q9NR50	Q9NR50	EI2BG_HUMAN	EIF2B3	Translation initiation factor eIF-2B subunit gamma					211299	2.07566e+06												
Q9NRG9	Q9NRG9	AAAS_HUMAN	AAAS	Aladin					81092	280918												
Q9NRK6	Q9NRK6	ABCBA_HUMAN	ABCB10	ATP-binding cassette sub-family B member 10, mitochondrial					259910	345879												
Q9NRN5	Q9NRN5	OLFL3_HUMAN	OLFML3	Olfactomedin-like protein 3	455773	508299	304930	541541			459001	573523	435564	552138		156886		188758		213967		71769.8
Q9NS15	Q9NS15	LTBP3_HUMAN	LTBP3	Latent-transforming growth factor beta-binding protein 3			212694	116051	203125	72689.7			216081	71487.2	430671					25219.7	459650	109303
Q9NSD9	Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	195270	177687	64889.7	131112		129923	228330	238604	140880	133381				274884	96809.3	192459	65649.6	93999.7
Q9NSE4	Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial		83312			139387	114718		45024.4				260718		114572		80569.1	53708.1	
Q9NTJ3	Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	59224.9				105342	1.4739e+06	113576		42226.8							44507.5		
Q9NTK5	Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	1.10327e+06	831773	550030	863006	1.28642e+06	761822	896260	1.2211e+06	929881	944241	520857	1.12904e+06	819473	1.06425e+06	896256	985209	625137	880646
Q9NTU7	Q9NTU7	CBLN4_HUMAN	CBLN4	Cerebellin-4	4.36445e+06	4.92454e+06	2.79454e+06	4.68007e+06	572082	637460	4.86658e+06	3.35023e+06	2.78781e+06	4.51033e+06	843700		1.06037e+06	1.54015e+06	2.35219e+06	1.97368e+06	1.30864e+06	604272
Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	ABHD10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial		27276.2	35968.2			214184										49353.6		
Q9NUQ9	Q9NUQ9	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B	113052	200317	190325	149265	324033	229408	104494	216243	209801	249877	167021		114450	192997	112740	111578	180606	208002
Q9NVA2	Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11	240414	446638	496617	618162	388483	614971	335579	502806	542514	639204	448453	443705		435101	525770	738607	442366	697017
Q9NVI1	Q9NVI1	FANCI_HUMAN	FANCI	Fanconi anemia group I protein					138311													
Q9NVJ2	Q9NVJ2	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B					812894	7.39932e+06						9.51395e+06						1.82125e+06
Q9NVM6	Q9NVM6	DJC17_HUMAN	DNAJC17	DnaJ homolog subfamily C member 17						1.27903e+06												
Q9NVP1	Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18					1.31908e+06	1.15827e+06											44070.5	151372
Q9NW64	Q9NW64	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	633744	343673	402118		913087	345283	698042		329610	514860	546604		392989	295182	491136		502714	439340
Q9NWT8	Q9NWT8	AKIP_HUMAN	AURKAIP1	Aurora kinase A-interacting protein	5.9803e+06	2.79193e+06	3.75613e+06	3.59184e+06	752001	1.6336e+06	7.0772e+06	2.69862e+06	2.06773e+06	4.01356e+06	1.17358e+06			931077	2.18623e+06	905088	1.35158e+06	535910
Q9NX58	Q9NX58	LYAR_HUMAN	LYAR	Cell growth-regulating nucleolar protein					676306	3.72677e+06										117446		
Q9NX61	Q9NX61	T161A_HUMAN	TMEM161A	Transmembrane protein 161A					205010													
Q9NY33	Q9NY33	DPP3_HUMAN	DPP3	Dipeptidyl peptidase 3	436580	272088	643259	512216	286060	364737	168680	373562	287825	471323	28846.6	430056	470741	221764	541126	177012	197267	114956
Q9NY93	Q9NY93	DDX56_HUMAN	DDX56	Probable ATP-dependent RNA helicase DDX56					128758													
Q9NYB0	Q9NYB0	TE2IP_HUMAN	TERF2IP	Telomeric repeat-binding factor 2-interacting protein 1	8.38864e+07	8.59572e+07	3.10782e+07	7.17669e+07	1.29909e+06	2.11529e+06	7.78421e+07	5.48356e+07	4.77994e+07	5.86895e+07	6.48563e+06		1.47259e+07	5.10807e+07	8.98693e+06	2.27385e+07	4.24137e+06	4.07443e+06
